image_path,label_id,raw_label,raw_label_name,domain,dataset_id,split
ED1/alldata/1/0.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/100.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/12.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/123.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/145.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/167.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/178.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/189.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/194.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/196.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/197.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/198.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/199.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/205.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/206.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/207.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/208.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/209.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/210.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/212.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/216.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/217.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/219.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/221.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/222.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/223.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/224.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/225.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/228.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/229.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/23.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/245.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/265.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/266.png,0,1,class_0,hospital,ED1,test
ED1/alldata/1/267.png,0,1,class_0,hospital,ED1,test
