image_path,raw_label,unified_label,domain,split
train/2-1-1/652d1b18eeb0072277ca7075_jpg.rf.3cc273ae63879ba720aa8a91014f9573.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d1b18eeb0072277ca7075_jpg.rf.deaaa7fb4f5c4e92e6044e4a90725375.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d1b18eeb0072277ca7075_jpg.rf.e3cdc456053150b89f7fcabc2a8da935.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d3070eeb0072277ca86dc_jpg.rf.728f7a61e421f58b8d63dd5e3b719a23.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d3070eeb0072277ca86dc_jpg.rf.b05b13c5bc680bcb069154cb8f6dcb50.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d3070eeb0072277ca86dc_jpg.rf.f02f4623539617006356773d02956b29.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d3230eeb0072277cb36cb_jpg.rf.1e530f087c8f26ad464b29dd7dca0532.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d3230eeb0072277cb36cb_jpg.rf.71f782ffb30c1b3be68138df21d2ec13.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d3230eeb0072277cb36cb_jpg.rf.e869e795b9233b3f87e081aa518c6d5b.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d3537eeb0072277cb759e_jpg.rf.27f1c3d649fcf21dd528457b033b809c.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d3537eeb0072277cb759e_jpg.rf.7e11e0e627b2c5a3a4663bf9f202dec9.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d3537eeb0072277cb759e_jpg.rf.c69108238bf40312bff765a5be97d19d.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d521feeb0072277cbd3b2_jpg.rf.0321cd96a3c7077dbcb90416b34d574f.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d521feeb0072277cbd3b2_jpg.rf.4a1c9540cf5733159d68e8ae0cff4025.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d521feeb0072277cbd3b2_jpg.rf.f30172ad00683953cd51736f1dd94fda.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d57c7eeb0072277cbdadf_jpg.rf.0990b1ce11d70df3f7aeb9f5babcd316.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d57c7eeb0072277cbdadf_jpg.rf.3a768d66aa9da8d804bcb8c9cae75ab4.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d57c7eeb0072277cbdadf_jpg.rf.5881643a034f2624ca12e48b042c6ea3.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d58b6eeb0072277cbdc46_jpg.rf.0fa2f1414eb5c70a163a65f7984b5674.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d58b6eeb0072277cbdc46_jpg.rf.a235dc5ad3a44f6648245efa40351f87.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d58b6eeb0072277cbdc46_jpg.rf.a8b0c1ea562f8a5314d884b168e7c479.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d59d0eeb0072277cbdd88_jpg.rf.72057c91fd4a64b3efd3a12221926e19.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d59d0eeb0072277cbdd88_jpg.rf.740c5a139c2552df3ed360b02954c36f.jpg,2-1-1,blastocyst,public,train
train/2-1-1/652d59d0eeb0072277cbdd88_jpg.rf.a103b4f84eda67daa3e30ac971386619.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_171_jpg.rf.372191b52648a4624ce960f264fa1114.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_171_jpg.rf.5020a4782d22091adf0d401cd75a4244.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_171_jpg.rf.cc2394af29cf1c4eddf6ced0555d2414.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_236_jpg.rf.287d61f53f16ca09ea3f7dc895849744.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_236_jpg.rf.51ce21f4e67738451047d5fd97ba85c8.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_236_jpg.rf.a9b9ca74d492f94fa4174d28b2e7fd1b.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_281_jpg.rf.47a88e0d6deb045c5c5ca8350d571025.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_281_jpg.rf.8d448e2fc1a857a44c8a4444498768db.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_281_jpg.rf.e07cb88a07551bc04d0bfda8200a7e6f.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_291_jpg.rf.35b2721d2b5a84a8a0cdc18ed77f1d8e.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_291_jpg.rf.70f03a58b98f985c0b8079e762701cbb.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_291_jpg.rf.795ff8969a6427853c7aaa895c274ead.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_301_jpg.rf.93914341bc7fa3053bbe07e0f1bf0b37.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_301_jpg.rf.a694f80705d64c21956c52ca63b00b50.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_301_jpg.rf.b6cdb59f68ce557ba71fc03a918f4e1f.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_91_jpg.rf.20c494398246085c924dd8664eae3018.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_91_jpg.rf.564992334605946186c4af3607c8eac6.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_0_rotate_91_jpg.rf.83eaf2bf8b9eebfeb638daa609a1a192.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1008_exposure_jpg.rf.4a3ccfca502d2f5e43a16c31fe35e250.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1008_exposure_jpg.rf.9d32112bf2b3bf8d035ac88358f66ba7.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1008_exposure_jpg.rf.fd2ff007939961c57fe9bef3c7814d8d.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1010_contrast_jpg.rf.799e3d985c57ebec64f2503795a69667.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1010_contrast_jpg.rf.addf52797c494e2f2a4d0c2cac875f17.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1010_contrast_jpg.rf.eb54db466497ca3cdf647eaeff34d493.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1015_brightness_jpg.rf.a78b1ef01c6565009ba3578a9fdac4fb.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1015_brightness_jpg.rf.e71754d7e16351e10436f270eafb57d2.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1015_brightness_jpg.rf.ff60e369ca3565d8589e89078a600a6a.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1020_contrast_jpg.rf.00d16debb5216cf53a7435e5206d942e.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1020_contrast_jpg.rf.047b2b778f3d8218aaffffa24bbda7bb.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1020_contrast_jpg.rf.c58270ff165c2727d0c1382f9742af70.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1022_exposure_jpg.rf.0412455d3003cb4812fb1d04e980aad6.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1022_exposure_jpg.rf.0c0b07a3b70edc5e2700fb52cb6cad92.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1022_exposure_jpg.rf.8d2a18c389159adc20a2911f98a3f094.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1028_exposure_jpg.rf.1c6dee022be42fa02560e13e247df64b.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1028_exposure_jpg.rf.45c2b41f932c36df72f147dd35628763.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1028_exposure_jpg.rf.b9408bddefe5fb9edc28a34c6ab5f573.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1030_exposure_jpg.rf.0ebbb5e42dbcb4253066c6314050e240.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1030_exposure_jpg.rf.33e429a4264967a02bc7e3391eb9a9a8.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1030_exposure_jpg.rf.bc474eb64f75f37e5655e769762bdd7e.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1039_brightness_jpg.rf.87b59e31fc791fbd94cff514f84899d3.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1039_brightness_jpg.rf.8b08c9460e3afb6dd70763492b96fd0a.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1039_brightness_jpg.rf.d4c83e65ea4e1a9371e77c69ebfb1fab.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1040_brightness_jpg.rf.6de27f0b9752738c0e1819c76f920edf.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1040_brightness_jpg.rf.7febc99f2ac44cb616a2fa4c619f2bc3.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1040_brightness_jpg.rf.c7e718c41ede21815814496696ae6de7.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1053_contrast_jpg.rf.0b60dfbef23a33a6a9564dec37b8f2f3.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1053_contrast_jpg.rf.af5a9a49799c01919c89862172b8081d.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1053_contrast_jpg.rf.e3f69504bd55bac3a9fc7c764319ae6b.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1059_brightness_jpg.rf.a478c814e1fb0a99a1e4adcc1963dd95.jpg,2-1-1,blastocyst,public,train
train/2-1-1/augmented_image_1059_brightness_jpg.rf.d0d555019d4de53c7adbc3cc00d6d5f8.jpg,2-1-1,blastocyst,public,train
